	Fecha,Hora,Memoria total (kB),Memoria usada (kB),Memoria libre (kB),Memoria compartida (kB),Buffer (kB),Caché (kB),Memoria disponible (kB)
2024-06-11,14:02:57,2006020,1090616,139160,33496,776244,711864,
2024-06-11,14:03:02,2006020,1090452,138908,33496,776660,712028,
2024-06-11,14:03:07,2006020,1090668,138152,33496,777200,711776,
2024-06-11,14:03:12,2006020,1093580,133112,33496,779328,708900,
2024-06-11,14:03:17,2006020,1124924,94416,35788,786680,675240,
2024-06-11,14:03:22,2006020,1134464,151124,35808,720432,666372,
2024-06-11,14:03:27,2006020,1136788,148352,35808,720880,664048,
2024-06-11,14:03:32,2006020,1140616,144068,35808,721336,660220,
2024-06-11,14:03:37,2006020,1140852,143368,35808,721800,659972,
2024-06-11,14:03:42,2006020,1141160,142612,35808,722248,659676,
2024-06-11,14:03:47,2006020,1140636,142360,35804,723024,660204,
2024-06-11,14:03:52,2006020,1140184,142360,35804,723476,660656,
2024-06-11,14:03:57,2006020,1139740,142360,35804,723920,661100,
2024-06-11,14:04:02,2006020,1139316,142360,35804,724344,661524,
2024-06-11,14:04:07,2006020,1139124,142108,35804,724788,661716,
2024-06-11,14:04:12,2006020,1138564,142108,35804,725348,662276,
2024-06-11,14:04:17,2006020,1138380,141856,35804,725784,662460,
2024-06-11,14:04:22,2006020,1138684,141100,35804,726236,662156,
2024-06-11,14:04:27,2006020,1138484,140848,35804,726688,662356,
2024-06-11,14:04:32,2006020,1138280,140600,35808,727140,662556,
2024-06-11,14:04:37,2006020,1138040,140348,35808,727632,662796,
2024-06-11,14:04:42,2006020,1138436,139844,35808,727740,662400,
2024-06-11,14:04:47,2006020,1138372,139844,35808,727804,662464,
2024-06-11,14:04:52,2006020,1138560,139592,35808,727868,662276,
2024-06-11,14:04:57,2006020,1138748,139340,35808,727932,662088,
2024-06-11,14:05:02,2006020,1138684,139340,35808,727996,662152,
2024-06-11,14:05:07,2006020,1138872,139088,35808,728060,661964,
2024-06-11,14:05:13,2006020,1138808,139088,35808,728124,662028,
2024-06-11,14:05:18,2006020,1138996,138836,35808,728188,661840,
2024-06-11,14:05:23,2006020,1138932,138836,35808,728252,661904,
2024-06-11,14:05:28,2006020,1139120,138584,35808,728316,661716,
2024-06-11,14:05:33,2006020,1139304,138336,35808,728380,661524,
2024-06-11,14:05:38,2006020,1139492,138084,35808,728444,661344,
2024-06-11,14:05:43,2006020,1139428,138084,35808,728508,661408,
2024-06-11,14:05:48,2006020,1139616,137832,35808,728572,661220,
2024-06-11,14:05:53,2006020,1139552,137832,35808,728636,661284,
2024-06-11,14:05:58,2006020,1139488,137832,35808,728700,661348,
2024-06-11,14:06:03,2006020,1139748,137328,35808,728944,661088,
2024-06-11,14:06:08,2006020,1139684,137328,35808,729008,661152,
2024-06-11,14:06:13,2006020,1140260,136320,35808,729440,660576,
